1.0,1466047.0
2.0,527979.0
3.0,256832.0
4.0,149450.0
5.0,97222.0
6.0,68187.0
7.0,50420.0
8.0,38830.0
9.0,30801.0
10.0,24888.0
11.0,20660.0
12.0,17362.0
13.0,14768.0
14.0,12741.0
15.0,11117.0
16.0,9739.0
17.0,8681.0
18.0,7748.0
19.0,6961.0
20.0,6303.0
21.0,5681.0
22.0,5155.0
23.0,4719.0
24.0,4351.0
25.0,3989.0
26.0,3692.0
27.0,3437.0
28.0,3218.0
29.0,3003.0
30.0,2830.0
31.0,2668.0
32.0,2501.0
33.0,2342.0
34.0,2199.0
35.0,2061.0
36.0,1962.0
37.0,1865.0
38.0,1770.0
39.0,1679.0
40.0,1596.0
41.0,1526.0
42.0,1454.0
43.0,1373.0
44.0,1305.0
45.0,1230.0
46.0,1187.0
47.0,1131.0
48.0,1081.0
49.0,1044.0
50.0,1005.0
